NOMBRE,CARTEGORIA,FECHA
"PROGRAMA DE ARTES EN LA ESCUELA – PASE 2018. Sábado 17 de noviembre. Taller “Leer y observar. Apreciando el arte en los libros para niños, niñas y jóvenes”","Ingreso libre, Oportunidades y recursos, Talleres y especialización","Octubre 20, 2018"
VII Foro de Comunicación 2018 “Gestión de proyectos escénicos: Festivales”,"Conferencias y ponencias, Exposiciones, Formación, Ingreso libre, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización","Octubre 55, 2018"
LLEGA EL DISEÑO FEST 2018 EN SU SEGUNDA EDICIÓN,"Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización","Octubre 38, 2018"
DISFRUTA DE LOS “VIERNES LITERARIOS” GRACIAS A LA MUNICIPALIDAD DE LIMA,"Centros culturales, Ingreso libre, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización","Octubre 56, 2018"
El BRITANICO inicia taller para promover el desarrollo de producciones escenicas de primer nivel,"Formación, Talleres y especialización","Octubre 38, 2018"
PROGRAMA DE ARTES EN LA ESCUELA – PASE 2018. Sábado 20 de octubre. Taller “EtnoIdentificArte: identificación étnica cultural a través del arte en el aula”.,"Formación, Ingreso libre, Talleres y especialización, Teatro","Septiembre 37, 2018"
PROGRAMA DE ARTES EN LA ESCUELA – PASE 2018. Sábado 29 de setiembre. Taller “Dinámica teatral: transitando por distintos caminos escénicos”.,"Formación, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización, Teatro","Septiembre 46, 2018"
CONVOCATORIA DE PROYECTOS DE ARTES VISUALES 2019,"Centros culturales, Concursos y premios, Convocatorias, DIRECTORIOS, Editoriales, Escuelas Superiores de Arte, Exposiciones, Festivales, Formación, Galerías, Intervenciones, Investigadores visuales, Museos, Talleres y especialización","Julio 45, 2018"
TALLER DE HAIKU VISUAL EN EL CENTRO CULTURAL PERUANO JAPONÉS,"artistas, Centros culturales, Formación, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización","Junio 53, 2018"
Abren Taller de Escritura Creativa en Miraflores,"Formación, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización","Junio 10, 2018"
PROGRAMA DE ARTES EN LA ESCUELA – PASE 2018. Sábado 23 de junio. Taller “Educación musical: de la metodología a la vivencia significativa”.,"Formación, Talleres y especialización","Junio 05, 2018"
NUEVOS CURSOS DE OTOÑO 2018 EN EL CLUB DE TEATRO DE LIMA,"Convocatorias, Formación, Oportunidades y recursos, Talleres y especialización, Teatro","Mayo 48, 2018"
CONTINÚAN LAS INSCRIPCIONES PARA LOS  CURSOS DE VERANO 2018 EN EL CLUB DE TEATRO DE LIMA,"Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización, Teatro","Marzo 29, 2018"
JORGE EINES OFRECERÁ TALLER EN LIMA,"Formación, Oportunidades y recursos, Talleres y especialización","Marzo 04, 2018"
ARTE CORPUS PRESENTA EL SEMINARIO – TALLER “EL SECRETO DE LOS LIBROS MARAVILLOSOS”,"Formación, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización","Febrero 25, 2018"
ARTE CORPUS INVITA A PARTICIPAR DEL “TALLER INTEGRAL DE ACUARELA”,"Formación, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización","Febrero 57, 2018"
TALLERES INTERNACIONALES del FAE Lima 2018,"Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización, Teatro","Febrero 41, 2018"
"ZUMO TE INVITA A PARTICIPAR DEL TALLER “Gestión, desarrollo y producción de proyectos musicales”","Formación, Música, Oportunidades y recursos, Talleres y especialización","Enero 35, 2018"
MUNICIPALIDAD DE LIMA LANZA TALLERES MULTIDISCIPLINARIOS PARA REVALORAR EL PATRIMONIO CULTURAL DE LA CIUDAD DE LIMA,"Convocatorias, Formación, Oportunidades y recursos, Talleres y especialización","Enero 12, 2018"
TALLERES DE ARTE: Súmale arte a tu verano!,"Formación, Oportunidades y recursos, Talleres y especialización","Enero 33, 2018"
TALLERES DE VERANO 2018 en El Centro Cultural El Olivar y en El Museo Marina Núñez del Prado de la Municipalidad de San Isidro,"Formación, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización","Diciembre 30, 2017"
TALLERES DE VERANO 2018  Superhéroes creando mundos”  Centro Cultural de la Universidad Nacional de Ingeniería  Proyecto Esencia Vital,"Centros culturales, Formación, Talleres y especialización","Diciembre 53, 2017"
PROGRAMA DE ARTES EN LA ESCUELA – PASE 2017. Sábado 18 de noviembre de 9:00 am a 6:00 pm en el Ministerio de Cultura. Tema: Artes Escénicas.,"Formación, Oportunidades y recursos, Talleres y especialización","Noviembre 38, 2017"
VI ENCUENTRO INTERNACIONAL DE NARRADORES ORALES: BENDITA SEA LA PALABRA,"Centros culturales, Talleres y especialización","Noviembre 34, 2017"
“La Escuela Va al Cine”. Sesiones hasta el 17 de noviembre,"Cine y audiovisuales, Exposiciones, Herramientas de autoformación, Talleres y especialización","Octubre 57, 2017"
Taller infantil “Ven a crear tu propio libro” con Viringo Cartonero,"Oportunidades y recursos, Talleres y especialización","Octubre 44, 2017"
TALLER INTERNACIONAL GUIÓN DE CINE Y PUESTA EN ESCENA CON CLAUDIA LLOSA.,"Cine y audiovisuales, Oportunidades y recursos, Talleres y especialización","Agosto 02, 2017"
SELECCIONADOS AL TALLER “SOSTENIBILIDAD Y NUEVOS PÚBLICOS: CÓMO RE-PENSAR PROYECTOS PARA LAS ARTES ESCÉNICAS”.,"Talleres y especialización, Teatro","Agosto 22, 2017"
FIAED Festival Internacional de Artes Escénicas por la Diversidad,Talleres y especialización,"Junio 15, 2017"
"ENCUENTRO DE ARTE, CULTURA Y EDUCACIÓN 2 y 3 de junio en el Ministerio de Cultura","Conferencias y ponencias, Formación, Talleres y especialización","Mayo 53, 2017"
WORKSHOP DE INTERVENCIÓN CREATIVA DE OBJETOS ORGANIZADO POR ARTE MANIFIESTO ESTE 22 DE ABRIL A PARTIR DE LAS 9:00 A.M.,"artistas, Galerías, Intervenciones, Oportunidades y recursos, Talleres y especialización","Abril 43, 2017"
[NOTA DE PRENSA] SEMANA SANTA EN EL MUSEO DE LOS DESCALZOS.,"Oportunidades y recursos, Talleres y especialización","Abril 45, 2017"
"[TALLER]: CLOWN CON VALERIA ESCANDÓN. INSCRIPCIONES ABIERTAS, CUPOS LIMITADOS.","Formación, Oportunidades y recursos, Talleres y especialización, Teatro","Abril 52, 2017"
"[WORKSHOP] YUPANA INCA: INICIACIÓN EN LA MATEMÁTICA INCA. 25 DE MARZO, MIRAFLORES.","Formación, Oportunidades y recursos, Talleres y especialización","Marzo 10, 2017"
[Talleres de formación] Curso en el Centro Cultural de la Universidad de Piura “Música popular en Lima”. Inicio 22 de marzo.,"Formación, Talleres y especialización","Marzo 07, 2017"
[Talleres de formación] Curso en el Centro Cultural de la Universidad de Piura “Sentidos del cine: ¿Qué hay detrás de las imágenes?”. Inicio 21 de marzo.,"Formación, Oportunidades y recursos, Talleres y especialización","Marzo 03, 2017"
[Talleres de formación] Curso en el Centro Cultural de la Universidad de Piura “Inteligencia emocional”. Inicio 20 de Marzo.,"Formación, Talleres y especialización","Marzo 21, 2017"
[Talleres de formación] Curso “Poesía europea moderna” en el Centro Cultural de la Universidad de Piura. Inicio 23 de marzo.,"Formación, Talleres y especialización","Marzo 55, 2017"
TALLER DE PUBLICACION DIGITAL EN EL ICPNA DE MIRAFLORES. 11 AL 18 DE MARZO. REVISTA KAYPUNKU,Talleres y especialización,"Marzo 13, 2017"
[Resultados] HABITACIÓN PROPIA: TRES LECCIONES SOBRE LA AUTONOMÍA DEL ACTOR,Talleres y especialización,"Marzo 12, 2017"
Manual para Emprendedores Culturales se presentó en el segundo día del Encuentro CONECTA: Cultura y emprendimiento,"Formación, Herramientas de autoformación, Talleres y especialización","Febrero 01, 2017"
[Resultados] TALLERES INTERNACIONALES DE ARTES ESCÉNICAS EN EL MARCO DEL FAE LIMA 2017,Talleres y especialización,"Febrero 27, 2017"
[Workshop] Iniciación en la Matemática Inka – Viernes 24 de febrero,Talleres y especialización,"Febrero 48, 2017"
TALLERES INTERNACIONALES DE ARTES ESCÉNICAS EN EL MARCO DEL FAE LIMA 2017.  Los talleres son de acceso libre previa postulación hasta el 19 de febrero.,"Formación, Talleres y especialización","Febrero 10, 2017"
"[Talleres] Hacer cosas con sonido, introducción al arte sonoro por Luis Alvarado","Formación, Talleres y especialización","Febrero 56, 2017"
[Talleres] Introducción a la poesía experimental por Luis Alvarado,"Formación, Talleres y especialización","Febrero 51, 2017"
Convocatoria para el primero de los dos talleres que Gilbert Rouviere dictará en el CCUP. Hasta el 27 de enero,Talleres y especialización,"Enero 34, 2017"
Taller de teatro para personas con discapacidad auditiva – 2017. Inicio 15 de enero,Talleres y especialización,"Enero 21, 2017"
